categoria,termo,codigo,nome,ch_teorica,ch_pratica,ch_extensao
INTERDISCIPLINAR,6,6104,MÉTODOS NUMÉRICOS PARA EQUAÇÕES DIFERENCIAIS,58,14,8
INTERDISCIPLINAR,6,6051,MÉTODOS PROBABILÍSTICOS EM PESQUISA OPERACIONAL,58,14,
ELETIVA,6,5770,MINERAÇÃO DE DADOS BIOMÉDICOS,44,28,
ELETIVA,6,5861,MODELAGEM MOLECULAR,36,36,
ELETIVA,6,5866,MODELOS ANIMAIS,72,0,
ELETIVA,6,3047,MULTIMÍDIA,42,30,
ELETIVA,6,5394,OPERAÇÕES UNITÁRIAS,72,0,
INTERDISCIPLINAR,6,5102,OTIMIZAÇÃO INTEIRA,72,0,8
ELETIVA,6,2199,PARADIGMAS DE PROGRAMAÇÃO,36,36,
ELETIVA,6,7673,PRÁTICAS DE EXTENSÃO E DIVULGAÇÃO CIENTÍFICA,56,16,
ELETIVA,6,9548,PRÁTICAS EM INSTRUMENTAÇÃO BIOMÉDICA,0,72,
ELETIVA,6,3581,PROCESSAMENTO DE IMAGENS,48,24,
ELETIVA,6,5938,PROCESSAMENTO DE MATERIAIS,72,0,
ELETIVA,6,5873,PROCESSAMENTO DE MATERIAIS CERÂMICOS,56,16,6
ELETIVA,6,9797,PROCESSAMENTO DE MATERIAIS COM LASER,52,20,12
ELETIVA,6,5877,PROCESSAMENTO DE MATERIAIS METÁLICOS,60,12,6
ELETIVA,6,8218,PROCESSAMENTO DE SINAIS,0,36,4
